X (mm),Y (mm),Z (mm),EM0_Mag,EM0_Az,EM1_Mag,EM1_Az,EM2_Mag,EM2_Az,EM3_Mag,EM3_Az,EM4_Mag,EM4_Az,EM5_Mag,EM5_Az,EM6_Mag,EM6_Az,EM7_Mag,EM7_Az,EM8_Mag,EM8_Az,EM9_Mag,EM9_Az,EM10_Mag,EM10_Az,EM11_Mag,EM11_Az
214.29,21.43,40.00,0.004012,355.91,0.002049,262.38,0.002176,357.34,0.043236,17.53,0.025751,287.45,0.035647,188.75,0.000832,271.89,0.000991,147.36,0.000596,306.55,0.001000,144.00,0.001823,70.73,0.000970,257.37
235.71,21.43,40.00,0.003094,356.35,0.001574,263.11,0.001653,357.61,0.071871,52.46,0.049868,288.54,0.078722,194.04,0.000778,277.89,0.000871,152.56,0.000536,309.61,0.000998,157.27,0.001912,78.05,0.001007,262.15
257.14,21.43,40.00,0.002442,356.71,0.001238,263.72,0.001290,357.84,0.093581,166.17,0.087886,281.55,0.157804,213.69,0.000723,283.22,0.000763,157.44,0.000482,312.42,0.000995,171.35,0.001961,85.50,0.001028,267.04
278.57,21.43,40.00,0.001966,357.00,0.000995,264.23,0.001030,358.03,0.093962,188.22,0.093963,261.78,0.171409,315.00,0.000669,287.99,0.000669,162.01,0.000433,315.00,0.000995,185.77,0.001966,93.00,0.001030,271.98
300.00,21.43,40.00,0.001609,357.24,0.000813,264.66,0.000837,358.18,0.078098,279.31,0.056845,251.85,0.092348,344.05,0.000616,292.26,0.000587,166.30,0.000389,317.37,0.000997,199.96,0.001925,100.47,0.001013,276.88
0.00,42.86,40.00,0.074087,271.72,0.056868,241.92,0.087391,156.80,0.001606,355.86,0.000813,262.01,0.000836,177.27,0.001242,158.31,0.002382,78.52,0.001265,262.48,0.000696,63.28,0.000628,8.86,0.000429,220.07
21.43,42.86,40.00,0.087887,191.55,0.093581,256.17,0.157804,123.69,0.001961,355.50,0.000995,261.35,0.001028,177.04,0.001238,173.72,0.002442,86.71,0.001290,267.84,0.000763,67.44,0.000723,13.22,0.000482,222.42
42.86,42.86,40.00,0.087605,160.93,0.087604,289.07,0.145902,45.00,0.002435,355.06,0.001239,260.59,0.001287,176.76,0.001239,189.41,0.002435,94.94,0.001287,273.24,0.000835,72.10,0.000835,17.90,0.000542,225.00
64.29,42.86,40.00,0.068477,66.11,0.049918,298.41,0.074916,20.56,0.003084,354.53,0.001574,259.68,0.001649,176.42,0.001243,204.68,0.002362,103.10,0.001257,278.58,0.000909,77.36,0.000964,22.92,0.000610,227.83
85.71,42.86,40.00,0.041955,25.81,0.025806,296.17,0.034643,12.99,0.003996,353.87,0.002050,258.59,0.002168,176.01,0.001245,218.94,0.002233,111.08,0.001201,283.78,0.000983,83.31,0.001113,28.30,0.000686,230.95
