"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"IC40,IC39,IC38,IC37,IC36,IC35,IC34,IC33,IC32,IC31,IC30,IC29,IC28,IC27,IC26,IC25,IC24,IC23,IC22,IC21,IC1";"SON50P200X200X80-9N";21;"DRV8210DSGR";;;
2;"C67,C12,C54,C24,C61,C45,C51,C59,C26,C40,C47,C52,C63,C34,C50,C4,C60,C10,C32,C43,C18,C14,C28,C8,C62,C42,C2,C49,C36,C16,C58,C57,C6,C38,C22,C46,C30,C56,C20,C69,C53,C55,C44,C48";"C_0402_1005Metric";44;"0.1uF";;;
3;"C5,C66,C65,C35,C37,C25,C19,C39,C31,C7,C11,C68,C15,C29,C17,C33,C9,C3,C13,C41,C21,C27,C64,C1,C23";"C_0603_1608Metric";25;"10uF";;;
4;"R7,R5,R8,R6,R1,R4,R3,R2";"R_0402_1005Metric";8;"10k";;;
5;"U2";"QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm";1;"MCP23S17_ML";;;
